Elevation,Horizontal_Distance_To_Roadways,Wilderness_Area_Rawah,Soil_Type_C2703,Soil_Type_C2704,Soil_Type_C2705,Soil_Type_C2717,Soil_Type_C4703,Soil_Type_C8771,Soil_Type_C8772,Cover_Type
2899,1650,0,0,0,0,0,0,0,0,1
3060,5952,1,0,0,0,0,0,0,0,1
3080,3473,0,0,0,0,0,0,0,0,0
3025,4465,1,0,0,0,0,0,0,0,1
2960,4884,1,0,0,0,0,0,0,0,0
3828,4927,0,0,0,0,0,0,0,0,6
3057,582,0,0,0,0,0,0,0,0,1
3255,1557,1,0,0,0,0,0,1,0,0
3125,4802,1,0,0,0,0,0,0,0,0
3368,1584,0,0,0,0,0,0,0,0,0
3208,1939,0,0,0,0,0,0,0,0,0
3252,752,1,0,0,0,0,0,0,0,1
2309,997,0,0,0,0,1,0,0,0,2
3230,658,1,0,0,0,0,0,0,0,0
2615,437,1,0,0,0,0,0,0,0,1
2696,3171,1,0,0,0,0,0,0,0,4
2902,212,1,0,0,0,0,0,0,0,1
2178,376,0,0,0,0,0,1,0,0,2
2797,2779,0,0,0,0,0,0,0,0,1
3057,807,1,0,0,0,0,0,0,0,0
3265,3354,1,0,0,0,0,0,0,0,0
2764,700,0,0,0,0,0,0,0,0,1
3203,1269,1,0,0,0,0,0,0,0,1
2901,218,1,0,0,0,0,0,0,0,0
3102,497,0,0,0,0,0,0,0,0,1
3024,3727,1,0,0,0,0,0,0,0,1
2739,3181,0,0,0,0,0,1,0,0,0
3105,1123,1,0,0,0,0,0,0,0,0
3091,1358,0,0,0,0,0,0,0,0,0
2774,1015,0,0,0,0,0,1,0,0,1
2910,4120,1,0,0,0,0,0,0,0,1
2905,3303,1,0,0,0,0,0,0,0,0
2499,967,0,0,0,0,0,0,0,0,5
3244,4698,1,0,0,0,0,0,0,0,1
2903,2048,0,0,0,0,0,0,0,0,1
2900,987,0,0,0,0,0,0,0,0,1
3013,1170,0,0,0,0,0,0,0,0,0
3227,2490,0,0,0,0,0,0,1,0,0
2977,2460,0,0,0,0,0,0,0,0,1
3119,4339,1,0,0,0,0,0,0,0,0
2726,1642,1,0,0,0,0,0,0,0,1
2395,805,0,0,0,0,0,1,0,0,5
2751,2008,1,0,0,0,0,0,0,0,1
2337,300,0,0,0,0,0,1,0,0,2
2683,2647,0,0,0,0,0,1,0,0,1
2750,626,1,0,0,0,0,0,0,0,4
3244,277,0,0,0,0,0,0,0,0,0
2926,4306,1,0,0,0,0,0,0,0,1
3370,2405,0,0,0,0,0,0,1,0,6
2936,3827,1,0,0,0,0,0,0,0,1
3082,1878,0,0,0,0,0,0,0,0,1
2827,3599,1,0,0,0,0,0,0,0,1
2905,3276,1,0,0,0,0,0,0,0,1
2565,1180,0,1,0,0,0,0,0,0,2
3308,3446,0,0,0,0,0,0,0,1,6
3101,2466,0,0,0,0,0,0,0,0,0
3108,997,1,0,0,0,0,0,0,0,0
2951,391,0,0,0,0,0,0,0,0,0
3274,1610,1,0,0,0,0,0,1,0,0
3027,895,1,0,0,0,0,0,0,0,1
3011,5776,1,0,0,0,0,0,0,0,1
2775,2408,0,0,0,0,0,1,0,0,1
2733,300,1,0,0,0,0,0,0,0,4
2144,1291,0,0,0,0,0,0,0,0,3
2801,2491,1,0,0,0,0,0,0,0,1
3078,1040,0,0,0,0,0,0,0,0,1
2133,636,0,0,0,0,0,1,0,0,5
3316,1234,0,0,0,0,0,0,1,0,0
2585,3000,0,0,0,0,0,0,0,0,1
2988,4031,1,0,0,0,0,0,0,0,1
3052,2888,1,0,0,0,0,0,0,0,0
3057,3589,1,0,0,0,0,0,0,0,0
2866,2285,0,0,0,0,0,0,0,0,1
3258,616,0,0,0,0,0,0,0,0,0
2721,1209,1,0,0,0,0,0,0,0,1
2587,3066,0,0,0,0,0,0,0,0,0
2856,1987,0,0,0,0,0,0,0,0,1
3130,2048,0,0,0,0,0,0,0,0,1
2516,1154,0,0,0,0,0,0,0,0,2
3015,4952,1,0,0,0,0,0,0,0,0
2677,957,0,0,0,0,0,0,0,0,1
3261,1637,0,0,0,0,0,0,0,0,0
3106,3524,1,0,0,0,0,0,0,0,0
3280,2940,1,0,0,0,0,0,0,1,0
2827,335,1,0,0,0,0,0,0,0,4
2908,4380,1,0,0,0,0,0,0,0,0
3376,1092,0,0,0,0,0,0,1,0,6
2788,1187,0,0,0,0,0,0,0,0,1
3195,3805,1,0,0,0,0,0,0,0,0
3133,1310,1,0,0,0,0,0,0,0,0
3327,1209,0,0,0,0,0,0,1,0,6
3129,5563,1,0,0,0,0,0,0,0,0
3176,5868,1,0,0,0,0,0,0,0,1
2996,2197,1,0,0,0,0,0,0,0,0
3147,875,1,0,0,0,0,0,0,0,1
3097,2563,1,0,0,0,0,0,0,0,0
2738,247,1,0,0,0,0,0,0,0,4
3152,5314,1,0,0,0,0,0,0,0,1
3191,3072,1,0,0,0,0,0,0,0,0
2555,684,0,0,0,0,0,1,0,0,1
2755,1129,0,0,0,0,0,0,0,0,1
3041,3958,1,0,0,0,0,0,0,0,0
3225,924,0,0,0,0,0,0,0,0,0
3041,1739,0,0,0,0,0,0,0,0,0
3198,977,0,0,0,0,0,0,0,0,1
2898,242,1,0,0,0,0,0,0,0,0
3205,1956,0,0,0,0,0,0,0,0,0
3345,2672,0,0,0,0,0,0,0,0,0
2734,2118,0,0,0,0,0,0,0,0,1
3067,3182,0,0,0,0,0,0,0,0,1
2345,1515,0,0,0,0,0,1,0,0,5
3138,2442,1,0,0,0,0,0,0,0,0
3241,895,1,0,0,0,0,0,0,0,0
2452,543,0,0,0,1,0,0,0,0,2
2933,2654,1,0,0,0,0,0,0,0,1
3404,832,0,0,0,0,0,0,0,0,0
2895,3464,1,0,0,0,0,0,0,0,1
3078,2948,0,0,0,0,0,0,0,0,0
2985,6023,1,0,0,0,0,0,0,0,1
3277,5825,1,0,0,0,0,0,0,0,0
3197,684,0,0,0,0,0,0,0,0,1
3176,2926,0,0,0,0,0,0,0,0,1
2584,1836,0,0,0,0,0,0,0,0,5
3268,1905,1,0,0,0,0,0,0,1,0
3008,3791,1,0,0,0,0,0,0,0,0
3455,1405,0,0,0,0,0,0,0,0,6
3072,1380,1,0,0,0,0,0,0,0,0
3083,2374,0,0,0,0,0,0,0,0,0
2955,2502,0,0,0,0,0,0,0,0,1
3321,3931,0,0,0,0,0,0,0,0,6
2683,2024,0,0,0,0,0,0,0,0,2
3043,3181,0,0,0,0,0,0,0,0,1
2630,953,1,0,0,0,0,0,0,0,1
3005,765,1,0,0,0,0,0,0,0,0
2914,3585,1,0,0,0,0,0,0,0,1
3250,5567,1,0,0,0,0,0,0,0,1
3410,2007,1,0,0,0,0,0,0,0,6
3389,1548,1,0,0,0,0,0,1,0,6
2861,3341,0,0,0,0,0,0,0,0,1
2408,1057,0,0,0,0,0,1,0,0,5
3140,5003,1,0,0,0,0,0,0,0,1
3077,2697,0,0,0,0,0,0,0,0,1
2922,5777,1,0,0,0,0,0,0,0,0
3285,1027,0,0,0,0,0,0,0,0,0
2625,2201,0,1,0,0,0,0,0,0,1
2966,1936,0,0,0,0,0,0,0,0,1
2341,911,0,0,0,0,1,0,0,0,2
3141,4170,1,0,0,0,0,0,0,0,0
3158,5934,1,0,0,0,0,0,0,0,0
3126,2819,1,0,0,0,0,0,0,0,0
3185,2067,0,0,0,0,0,0,0,0,0
2840,3365,1,0,0,0,0,0,0,0,1
3126,1154,1,0,0,0,0,0,0,0,0
3254,1307,1,0,0,0,0,0,1,0,0
3133,589,0,0,0,0,0,0,0,0,0
2801,854,0,0,0,0,0,0,0,0,1
2716,1231,1,0,0,0,0,0,0,0,1
3195,2514,0,0,0,0,0,0,0,0,0
3021,4029,1,0,0,0,0,0,0,0,0
3265,5521,1,0,0,0,0,0,1,0,1
2963,1142,0,0,0,0,0,0,0,0,1
2578,792,0,0,0,0,0,0,0,0,2
3024,4926,1,0,0,0,0,0,0,0,0
2919,1248,1,0,0,0,0,0,0,0,0
2950,503,1,0,0,0,0,0,0,0,1
2861,1337,0,0,0,0,0,0,0,0,1
2807,2022,1,0,0,0,0,0,0,0,1
3438,2394,1,0,0,0,0,0,1,0,6
3014,4189,1,0,0,0,0,0,0,0,1
3090,5228,1,0,0,0,0,0,0,0,0
3295,3029,1,0,0,0,0,0,0,0,0
3376,5190,0,0,0,0,0,0,1,0,6
3150,2263,0,0,0,0,0,0,0,0,1
3069,785,1,0,0,0,0,0,0,0,0
2877,3059,1,0,0,0,0,0,0,0,1
3005,973,0,0,0,0,0,0,0,0,0
2901,1360,0,0,0,0,0,0,0,0,1
3325,1050,0,0,0,0,0,0,0,0,0
3031,2106,0,0,0,0,0,0,0,0,1
2382,1095,0,0,0,0,0,1,0,0,2
2492,1282,0,0,0,1,0,0,0,0,2
3123,3060,0,0,0,0,0,0,0,0,1
2979,1598,0,0,0,0,0,0,0,0,1
2912,1790,0,0,0,0,0,0,0,0,1
2590,874,1,0,0,0,0,0,0,0,1
3364,2777,0,0,0,0,0,0,1,0,6
2832,2402,1,0,0,0,0,0,0,0,1
3215,5234,1,0,0,0,0,0,0,0,0
3295,4661,0,0,0,0,0,0,0,0,0
2841,2741,1,0,0,0,0,0,0,0,1
3116,192,1,0,0,0,0,0,0,0,1
3044,5260,1,0,0,0,0,0,0,0,1
2417,655,0,0,0,0,0,0,0,0,2
3189,560,0,0,0,0,0,0,0,0,1
2296,779,0,0,0,0,0,1,0,0,2
3001,1828,0,0,0,0,0,0,0,0,0
2501,1340,0,0,0,1,0,0,0,0,2
3097,5051,1,0,0,0,0,0,0,0,0
2352,1273,0,0,0,0,0,0,0,0,5
2931,300,1,0,0,0,0,0,0,0,0
2827,4373,1,0,0,0,0,0,0,0,1
2439,659,0,0,0,0,1,0,0,0,2
3145,4374,1,0,0,0,0,0,0,0,0
3394,2404,0,0,0,0,0,0,1,0,6
3549,1584,0,0,0,0,0,0,0,0,6
2850,4320,1,0,0,0,0,0,0,0,1
2826,1410,0,0,0,0,0,0,0,0,1
2121,295,0,0,0,0,0,1,0,0,5
2888,1337,1,0,0,0,0,0,0,0,0
3090,2525,0,0,0,0,0,0,0,0,1
3200,474,0,0,0,0,0,0,0,0,0
3151,1380,0,0,0,0,0,0,0,0,0
2701,1253,0,0,0,0,0,0,0,0,1
3194,424,0,0,0,0,0,0,0,0,1
2643,1237,0,0,0,0,0,0,0,0,5
3060,4246,1,0,0,0,0,0,0,0,0
2781,402,1,0,0,0,0,0,0,0,1
2144,497,0,0,0,0,0,1,0,0,5
2882,1998,0,0,0,0,0,0,0,0,1
2904,2101,0,0,0,0,0,0,0,0,0
2840,2546,0,0,0,0,0,0,0,0,0
3128,2742,0,0,0,0,0,0,0,0,0
2606,1296,0,0,0,0,0,0,0,0,5
2785,2250,0,0,0,0,0,0,0,0,1
3248,811,0,0,0,0,0,0,0,1,0
2784,2753,1,0,0,0,0,0,0,0,4
2403,752,0,0,0,0,0,1,0,0,5
2241,1020,0,0,0,0,0,1,0,0,2
2987,5041,1,0,0,0,0,0,0,0,1
2688,1082,1,0,0,0,0,0,0,0,1
3186,2427,0,0,0,0,0,0,0,0,0
3182,2843,1,0,0,0,0,0,0,0,0
2691,1598,0,0,0,0,0,0,0,0,0
2800,1376,0,0,0,0,0,0,0,0,1
2895,1405,0,0,0,0,0,0,0,0,1
3385,1092,0,0,0,0,0,0,0,0,0
2032,537,0,0,0,0,0,0,0,0,2
2803,1230,0,0,0,0,0,0,0,0,1
3010,524,0,0,0,0,0,0,0,0,1
3186,2145,0,0,0,0,0,0,0,0,0
3096,1839,1,0,0,0,0,0,0,0,1
3158,2168,0,0,0,0,0,0,0,0,1
2780,2026,1,0,0,0,0,0,0,0,1
2826,750,0,0,0,0,0,0,0,0,1
2965,4392,1,0,0,0,0,0,0,0,1
3205,872,0,0,0,0,0,0,0,0,0
3222,1528,0,0,0,0,0,0,0,0,0
2457,1342,0,0,0,0,0,1,0,0,2
2678,2047,0,0,0,0,0,1,0,0,1
2972,4725,1,0,0,0,0,0,0,0,1
3054,1819,0,0,0,0,0,0,0,0,0
3236,242,0,0,0,0,0,0,0,0,1
3009,3034,1,0,0,0,0,0,0,0,0
2833,2364,1,0,0,0,0,0,0,0,1
2965,6091,1,0,0,0,0,0,0,0,0
3305,1800,0,0,0,0,0,0,1,0,0
3269,3874,1,0,0,0,0,0,0,1,6
3098,711,1,0,0,0,0,0,0,0,1
3250,5081,1,0,0,0,0,0,0,0,1
2591,2873,0,0,0,0,0,0,0,0,5
3048,1500,1,0,0,0,0,0,0,0,0
3099,2314,0,0,0,0,0,0,0,0,0
2907,3154,1,0,0,0,0,0,0,0,1
2780,618,1,0,0,0,0,0,0,0,1
2594,1442,0,0,1,0,0,0,0,0,1
2934,4480,1,0,0,0,0,0,0,0,1
2887,2732,1,0,0,0,0,0,0,0,1
3191,2264,0,0,0,0,0,0,0,0,0
3001,3472,0,0,0,0,0,0,0,0,1
3049,1060,1,0,0,0,0,0,0,0,1
2866,1113,0,0,0,0,0,0,0,0,0
3013,540,0,0,0,0,0,0,0,0,1
3183,4981,1,0,0,0,0,0,0,0,0
2968,4968,1,0,0,0,0,0,0,0,0
3347,3754,0,0,0,0,0,0,1,0,6
2464,934,0,0,0,0,0,1,0,0,5
3202,2216,0,0,0,0,0,0,0,0,0
2613,365,1,0,0,0,0,0,0,0,1
2838,510,0,0,0,0,0,0,0,0,1
3239,3123,0,0,0,0,0,0,0,0,6
2702,1620,0,0,0,1,0,0,0,0,1
2386,390,0,0,1,0,0,0,0,0,2
2759,870,0,0,0,0,0,0,0,0,0
3034,6201,1,0,0,0,0,0,0,0,1
3159,6639,1,0,0,0,0,0,0,0,1
2971,5600,1,0,0,0,0,0,0,0,1
2620,1681,1,0,0,0,0,0,0,0,1
2796,2486,1,0,0,0,0,0,0,0,1
3441,2092,1,0,0,0,0,0,0,0,0
3163,5460,1,0,0,0,0,0,0,0,1
3107,4010,1,0,0,0,0,0,0,0,1
2568,1087,1,0,0,0,0,0,0,0,0
2808,1888,0,0,0,0,0,0,0,0,1
2997,1760,0,0,0,0,0,0,0,0,1
3210,859,0,0,0,0,0,0,0,0,0
3146,2039,0,0,0,0,0,0,0,0,1
3189,1065,0,0,0,0,0,0,0,0,0
2647,1054,1,0,0,0,0,0,0,0,1
3193,1342,0,0,0,0,0,0,0,0,0
2965,993,0,0,0,0,0,0,0,0,1
2390,1104,0,0,0,0,0,1,0,0,5
3184,2840,1,0,0,0,0,0,0,0,0
2371,1543,0,1,0,0,0,0,0,0,2
2926,3978,1,0,0,0,0,0,0,0,1
3007,1406,0,0,0,0,0,0,0,0,1
2874,2278,1,0,0,0,0,0,0,0,1
2202,1434,0,0,0,0,0,1,0,0,2
3361,3756,0,0,0,0,0,0,0,1,6
3059,2847,0,0,0,0,0,0,0,0,0
3163,3387,0,0,0,0,0,0,0,0,1
2845,1891,0,0,0,0,0,0,0,0,1
2170,537,0,0,1,0,0,0,0,0,3
3161,3739,0,0,0,0,0,0,0,1,0
3230,2698,0,0,0,0,0,0,0,0,1
2640,630,1,0,0,0,0,0,0,0,1
3241,2856,0,0,0,0,0,0,0,0,0
2727,1653,0,0,0,1,0,0,0,0,2
2977,696,0,0,0,0,0,0,0,0,1
2905,1572,1,0,0,0,0,0,0,0,1
3150,1140,0,0,0,0,0,0,0,0,1
2982,1784,0,0,0,0,0,0,0,0,1
2280,1020,0,0,0,0,0,0,0,0,5
2551,1092,0,0,0,0,1,0,0,0,1
3236,660,1,0,0,0,0,0,0,0,6
3082,655,0,0,0,0,0,0,0,0,1
3216,5754,1,0,0,0,0,0,0,0,1
3198,1126,0,0,0,0,0,0,0,0,0
2652,1803,0,0,0,0,0,1,0,0,1
3308,752,0,0,0,0,0,0,0,0,1
2823,2367,0,0,0,0,0,0,0,0,1
3525,3006,1,0,0,0,0,0,0,0,0
3172,4102,0,0,0,0,0,0,0,0,0
2687,1507,1,0,0,0,0,0,0,0,1
2735,1510,0,0,0,1,0,0,0,0,1
2780,2713,0,0,0,0,0,0,0,0,1
2941,819,0,0,0,0,0,0,0,0,0
3114,841,0,0,0,0,0,0,0,0,1
2704,2226,1,0,0,0,0,0,0,0,1
3039,3335,0,0,0,0,0,0,0,0,0
2542,778,0,0,0,0,1,0,0,0,1
2941,1790,0,0,0,0,0,0,0,0,1
3196,2489,1,0,0,0,0,0,0,0,6
3104,1087,1,0,0,0,0,0,0,0,0
3078,3245,0,0,0,0,0,0,0,0,1
3093,1047,1,0,0,0,0,0,0,0,1
3189,5354,1,0,0,0,0,0,0,0,1
2690,2082,1,0,0,0,0,0,0,0,1
2494,2051,0,0,0,1,0,0,0,0,2
2695,1538,1,0,0,0,0,0,0,0,1
3056,2699,0,0,0,0,0,0,0,0,0
3233,700,1,0,0,0,0,0,0,0,1
2567,1130,1,0,0,0,0,0,0,0,1
3125,1103,0,0,0,0,0,0,0,0,1
2606,1832,0,1,0,0,0,0,0,0,2
2769,1772,0,0,0,0,0,0,0,0,0
2187,1410,0,0,1,0,0,0,0,0,2
2253,1348,0,0,0,0,0,0,0,0,5
3110,1883,0,0,0,0,0,0,0,0,0
3005,750,0,0,0,0,0,0,0,0,1
3100,4093,1,0,0,0,0,0,0,0,0
3287,1380,0,0,0,0,0,0,0,0,0
3238,1727,1,0,0,0,0,0,0,0,0
2430,962,0,1,0,0,0,0,0,0,2
2379,1482,0,0,0,0,1,0,0,0,2
3005,1707,0,0,0,0,0,0,0,0,1
3180,3600,0,0,0,0,0,0,0,0,0
2994,1996,0,0,0,0,0,0,0,0,1
2777,2847,1,0,0,0,0,0,0,0,1
3256,5580,1,0,0,0,0,0,0,0,0
3208,4971,1,0,0,0,0,0,0,0,0
3351,2925,0,0,0,0,0,0,0,0,0
3352,2882,0,0,0,0,0,0,0,1,6
2712,1103,1,0,0,0,0,0,0,0,0
2324,706,0,0,0,0,1,0,0,0,2
2664,2007,0,0,0,0,0,1,0,0,5
3506,2524,1,0,0,0,0,0,0,0,0
2625,2018,0,0,0,0,0,0,0,0,1
3146,1167,1,0,0,0,0,0,0,0,1
2633,1950,0,0,0,1,0,0,0,0,1
3281,648,0,0,0,0,0,0,0,1,6
3213,5907,1,0,0,0,0,0,0,0,1
2178,335,0,0,0,0,0,1,0,0,2
3186,1865,0,0,0,0,0,0,0,0,0
2467,513,0,0,0,0,0,0,0,0,5
3291,6009,1,0,0,0,0,0,0,0,0
2975,3356,1,0,0,0,0,0,0,0,1
3063,450,0,0,0,0,0,0,0,0,1
2979,5558,1,0,0,0,0,0,0,0,1
3213,4916,1,0,0,0,0,0,0,0,0
2902,1784,0,0,0,0,0,0,0,0,0
3205,2083,1,0,0,0,0,0,0,0,1
2711,2062,1,0,0,0,0,0,0,0,1
2645,1507,1,0,0,0,0,0,0,0,1
2830,4025,1,0,0,0,0,0,0,0,1
2795,458,0,0,0,0,0,0,0,0,1
2824,3576,1,0,0,0,0,0,0,0,1
2850,4876,1,0,0,0,0,0,0,0,1
3380,955,0,0,0,0,0,0,1,0,1
3187,1987,0,0,0,0,0,0,0,0,0
3026,2970,0,0,0,0,0,0,0,0,1
2106,361,0,0,0,0,0,0,0,0,5
3396,1464,0,0,0,0,0,0,0,0,0
2585,810,0,0,0,0,0,1,0,0,2
3113,2233,1,0,0,0,0,0,0,0,0
2916,4086,1,0,0,0,0,0,0,0,1
3053,1836,0,0,0,0,0,0,0,0,0
3151,2462,1,0,0,0,0,0,0,0,0
2781,2457,1,0,0,0,0,0,0,0,1
2827,2647,0,0,0,0,0,0,0,0,0
2697,2282,1,0,0,0,0,0,0,0,0
2832,1734,1,0,0,0,0,0,0,0,1
3432,750,0,0,0,0,0,0,0,0,0
3011,5250,1,0,0,0,0,0,0,0,0
2960,1507,0,0,0,0,0,0,0,0,1
3183,1142,1,0,0,0,0,0,0,0,0
2977,5076,1,0,0,0,0,0,0,0,0
2153,900,0,0,0,0,0,0,0,0,3
3250,2784,1,0,0,0,0,0,0,0,0
3025,4425,1,0,0,0,0,0,0,0,1
2873,570,0,0,0,0,0,0,0,0,1
2966,1954,1,0,0,0,0,0,0,0,1
3262,404,0,0,0,0,0,0,0,0,0
3258,1172,1,0,0,0,0,0,0,0,1
3449,3216,1,0,0,0,0,0,0,1,0
2603,1592,1,0,0,0,0,0,0,0,1
2994,4753,1,0,0,0,0,0,0,0,0
2486,558,0,0,0,0,1,0,0,0,5
2079,360,0,0,0,0,0,1,0,0,2
3068,658,0,0,0,0,0,0,0,0,0
2972,4050,1,0,0,0,0,0,0,0,1
3038,67,1,0,0,0,0,0,0,0,0
3107,741,1,0,0,0,0,0,0,0,0
3394,2173,0,0,0,0,0,0,1,0,6
3252,3126,0,0,0,0,0,0,0,0,1
2569,1959,0,0,0,1,0,0,0,0,2
2978,4213,1,0,0,0,0,0,0,0,1
2979,3047,0,0,0,0,0,0,0,0,1
2755,228,1,0,0,0,0,0,0,0,4
2968,5001,1,0,0,0,0,0,0,0,0
3168,295,0,0,0,0,0,0,0,0,1
3008,4301,1,0,0,0,0,0,0,0,1
3113,6945,1,0,0,0,0,0,0,0,1
2295,1252,0,0,1,0,0,0,0,0,3
3077,4998,1,0,0,0,0,0,0,0,0
3101,1383,0,0,0,0,0,0,0,0,0
3132,6194,1,0,0,0,0,0,0,0,0
2991,5998,1,0,0,0,0,0,0,0,1
3075,3749,1,0,0,0,0,0,0,0,1
3415,1087,0,0,0,0,0,0,0,0,0
3359,3409,0,0,0,0,0,0,0,0,6
3018,6088,1,0,0,0,0,0,0,0,1
3257,939,0,0,0,0,0,0,0,0,1
2822,1747,1,0,0,0,0,0,0,0,1
3043,3059,1,0,0,0,0,0,0,0,1
3433,2790,0,0,0,0,0,0,0,0,0
3165,2974,1,0,0,0,0,0,0,0,0
3572,1682,0,0,0,0,0,0,0,0,6
2052,390,0,0,0,0,1,0,0,0,2
2593,1436,0,0,0,0,0,0,0,0,1
2323,495,0,0,0,0,0,1,0,0,2
2227,547,0,0,0,0,0,1,0,0,5
2930,1358,0,0,0,0,0,0,0,0,1
2991,5925,1,0,0,0,0,0,0,0,1
2703,2424,0,0,0,0,0,1,0,0,1
2654,1980,1,0,0,0,0,0,0,0,1
3167,990,1,0,0,0,0,0,0,0,0
2965,1452,1,0,0,0,0,0,0,0,1
2916,1650,1,0,0,0,0,0,0,0,1
3171,3343,0,0,0,0,0,0,0,0,0
3351,2320,0,0,0,0,0,0,0,0,1
3112,2821,1,0,0,0,0,0,0,0,0
2892,1376,0,0,0,0,0,0,0,0,1
2085,458,0,0,0,0,0,0,0,0,2
3201,2654,0,0,0,0,0,0,0,0,1
2936,4235,1,0,0,0,0,0,0,0,1
2717,853,1,0,0,0,0,0,0,0,0
3096,2502,0,0,0,0,0,0,0,0,0
3148,4678,1,0,0,0,0,0,0,0,0
3090,342,0,0,0,0,0,0,0,0,1
2543,693,0,0,0,0,0,0,0,0,1
3231,1601,0,0,0,0,0,0,0,0,0
3397,1514,1,0,0,0,0,0,0,0,6
3526,2547,1,0,0,0,0,0,0,0,0
3136,3155,1,0,0,0,0,0,0,0,0
2787,1889,1,0,0,0,0,0,0,0,1
2384,150,0,0,0,0,0,1,0,0,5
3185,1727,0,0,0,0,0,0,0,0,0
2978,4832,1,0,0,0,0,0,0,0,1
3034,2202,0,0,0,0,0,0,0,0,1
3121,1383,0,0,0,0,0,0,0,0,0
2895,3072,1,0,0,0,0,0,0,0,1
2542,1047,0,0,0,1,0,0,0,0,2
3054,5864,1,0,0,0,0,0,0,0,1
2497,842,1,0,0,0,0,0,0,0,1
3150,1302,0,0,0,0,0,0,0,0,0
2298,1345,0,0,0,0,0,1,0,0,2
2880,3181,1,0,0,0,0,0,0,0,1
3113,3505,1,0,0,0,0,0,0,0,1
3172,1556,0,0,0,0,0,0,0,0,0
2742,1383,1,0,0,0,0,0,0,0,0
3189,1544,0,0,0,0,0,0,0,0,0
2962,2242,0,0,0,0,0,0,0,0,1
3224,918,1,0,0,0,0,0,0,0,1
2987,3911,1,0,0,0,0,0,0,0,1
3375,1590,0,0,0,0,0,0,1,0,6
2985,4362,1,0,0,0,0,0,0,0,1
3060,513,1,0,0,0,0,0,0,0,1
2592,997,0,0,0,1,0,0,0,0,2
2860,3474,1,0,0,0,0,0,0,0,1
3188,3195,0,0,0,0,0,0,0,0,1
2545,598,1,0,0,0,0,0,0,0,1
3320,3887,0,0,0,0,0,0,0,0,1
2891,920,0,0,0,0,0,0,0,0,4
3246,3979,0,0,0,0,0,0,0,0,1
